La maldici�n de Blackwood;5784;2018;Cinco adolescentes emocionalmente fr�giles son enviadas a Blackwood, una misteriosa escuela para ni�as superdotadas y perturbadas.;https://www.starz.com/ar/es/movies/La-maldici�n-de-Blackwood-62692
John Wick 2: Un nuevo d�a para matar;7341;2017;En esta secuela del �xito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos m�s peligrosos del mundo.;https://www.starz.com/ar/es/movies/John-Wick-2:-Un-nuevo-d�a-para-matar-61327
Ll�mame Por Tu Nombre;7918;2017;A mediados del esplendoroso verano de 1980 en Italia, Elio y Oliver descubren el maravilloso despertar del deseo que cambiara sus vidas por siempre.;https://www.starz.com/ar/es/movies/Ll�mame-Por-Tu-Nombre-38894
El lado oscuro del deseo;5962;2015;Evan es un hombre casado cuya mujer e hijos est�n de viaje. Una noche lluviosa acoge a dos chicas que, aunque al principio se muestre reacio, lo seducen. Lo que todav�a no sabe son los horribles planes que ellas tienen para �l.;https://www.starz.com/ar/es/movies/El-lado-oscuro-del-deseo-50862
La reina;6200;2006;Hellen Mirren gan� el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la tr�gica muerte de la Princesa Diana.;https://www.starz.com/ar/es/movies/La-reina-25264
Si no despierto;5904;2017;Samantha Kingston (Zoey Deutch), una preparatoriana a punto de graduarse, que lo tiene todo. El 12 de Febrero es s�lo otro venturoso d�a en la vida de Sam hasta que se ve atascada revivi�ndolo inexplicablemente durante una semana.;https://www.starz.com/ar/es/movies/Si-no-despierto-51601
Dulce venganza;6482;2010;Este remake del cl�sico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando venganza contra sus atacantes.;https://www.starz.com/ar/es/movies/Dulce-venganza-9303
2012;9469;2009;El mundo se enfrenta a una cat�strofe de proporciones apocal�pticas, las ciudades quedan destruidas y los continentes se desmoronan.  En el a�o 2012 llega el fin del mundo y la heroica lucha de los supervivientes.;https://www.starz.com/ar/es/movies/2012-37333
Dulce venganza 2;6369;2013;Del director de la aclamada remake del 2010, este nuevo episodio impactante muestra a una modelo brutalizada que sobrevive para buscar su venganza.  Protagonizada por Jemma Dallender y Joe Absolom.;https://www.starz.com/ar/es/movies/Dulce-venganza-2-25826
Crep�sculo la saga: Luna Nueva;7814;2009;A Bella se le parte el coraz�n cuando la familia Cullen decide mudarse para poner fin a su relaci�n con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podr�an ser algo m�s.;https://www.starz.com/ar/es/movies/Crep�sculo-la-saga:-Luna-Nueva-50238
D�nde Est� El Dinero;5138;2017;Un joven de agudo intelecto, proveniente de las calles de South Central, debe ser reclutado en una fraternidad elitista en USC para recuperar dinero robado.;https://www.starz.com/ar/es/movies/D�nde-Est�-El-Dinero-60447
Las ventajas de ser invisible;6154;2012;Drama protagonizado por Emma Watson y Ezrae mensajes que le dej� su marido fallecido para ayudarle a disminuir su dolor y alentarla a iniciar una nueva vida por s� misma.;https://www.starz.com/ar/es/movies/Posdata,-te-amo-63543
