The Act;2019;"De los escritores Nick Antosca (""Channel Zero"") y Michelle Dean llega ""The Act"", una serie psicológica y antológica de crímenes reales que cuenta las insólitas historias detrás de actos criminales verdaderos.";https://www.starz.com/ar/es/series/The-Act-46154
MalaYerba;2021;Cuando el cannabis medicinal es legalizado en Colombia, tres jóvenes emprendedores rápidamente se abren paso en el codiciado mercado.;https://www.starz.com/ar/es/series/MalaYerba-64882
Dr. Death: The Undoctored Story;2021;"""Dr. Death: The Undoctored Story"" es la primera docuserie sobre el Dr. Christopher Duntsch, el notorio neurocirujano, cuya historia impactante ha cautivado al mundo.";https://www.starz.com/ar/es/series/Dr.-Death:-The-Undoctored-Story-65195
Normal People;2020;Desde la escuela a la universidad, Normal People sigue a Connell y Marianne mientras entretejen sus vidas en un programa que explora lo complicado que puede ser el amor joven.;https://www.starz.com/ar/es/series/Normal-People-60083
The Spanish Princess;2019;"""The Spanish Princess"" es la vívida y cautivante narración de la historia de Catalina de Aragón, que ha sido históricamente eclipsada por su infame matrimonio con el rey Enrique VIII.";https://www.starz.com/ar/es/series/The-Spanish-Princess-42457
Reign;2013;La historia comienza en el año 1557 cuando Mary, Reina de Escocia, tiene que partir del convento en el que vivía hacia Francia, para contraer matrimonio con el Príncipe Francis II de Francia y así sellar una alianza entre los dos países.;https://www.starz.com/ar/es/series/Reign-63571
The Capture;2019;"Del productor ejecutivo de éxitos David Heyman y NBCUniversal International Studios llega ""La captura"", un oportuno thriller que explora cuestiones urgentes acerca de la vigilancia y la desinformación.";https://www.starz.com/ar/es/series/The-Capture-57770
BMF;2021;"""BMF"" sigue la historia de dos hermanos que crearon la ""Black Mafia Family"", la red de distribución de drogas más promienente en la historia Americana.";https://www.starz.com/ar/es/series/BMF-62264
Hightown;2020;Ambientada en el bello, pero sombrío, Cabo Cod, esta serie, narra el camino de una mujer para dejar las drogas y el alcohol. Pero todo es eclipsado por una investigación por asesinato.;https://www.starz.com/ar/es/series/Hightown-57463
Dr. Death;2021;Basada en el exitoso podcast de Wondery, Dr. Death cuanta la impactante historia verdadera del Dr. Christopher Duntsch (Joshua Jackson), un joven neurocirujano aparentemente brillante con un consultorio médico próspero. Pero no todo es lo que parece.;https://www.starz.com/ar/es/series/Dr.-Death-61268
The Royals;2015;The Royals sigue las vidas de una familia real británica ficticia que vive un mundo de opulencia, lujuria, escándalo sexual y tradición regia: un mundo que también trae consigo un costo de responsabilidades, destino e intensa opinión pública.;https://www.starz.com/ar/es/series/The-Royals-45706
The White Princess;2017;“The White Princess” representa una turbulenta época de la historia británica desde la visión de las mujeres que encarnan una dura batalla por el poder.;https://www.starz.com/ar/es/series/The-White-Princess-30887
Vida;2018;"""Vida"" es una serie de media hora que se enfoca en dos hermanas mexico-americanas de lado Este de Los Ángeles que no podrían ser más diferentes ni estar más distanciadas entre sí. Las circunstancias las obligan a volver a su antiguo barrio en donde son confrontadas por su pasado y por la insospechada verdad sobre la identidad de su madre.";https://www.starz.com/ar/es/series/Vida-37707
Power Book II: Ghost;2020;"""El Fantasma"" sigue a Tariq malabareando sus operaciones de drogas, calificaciones, vida amorosa y familia. Para  evitar el destino de su padre, debe convertirse en él, pero siendo mejor.";https://www.starz.com/ar/es/series/Power-Book-II:-Ghost-58002
The Rook;2019;Cuando una mujer despierta rodeada de cadáveres sin ningún recuerdo, debe revelar su misterioso pasado para conocer la verdad.;https://www.starz.com/ar/es/series/The-Rook-44140
The Tudors;2007;Relata la historia de Enrique VIII durante los apoteósicos primeros años de su reinado de 40 años en Inglaterra. También ahonda en las relaciones políticas de Enrique VIII, incluyendo aquellas con el filósofo Sir Tomás Moro y el cardenal Wolsey.;https://www.starz.com/ar/es/series/The-Tudors-45932
Baptiste;2019;El impredecible detective, Julien Baptiste, quien está de vacaciones con su esposa en Ámsterdam, apoya a su exnovia, la Jefa de Policía de Ámsterdam, en una investigación.;https://www.starz.com/ar/es/series/Baptiste-45713
Black Sails;2014;"La aventura pirata ""Black Sails"", se centra en las historias del capitán Flint y su notoria tripulación mientras luchan por la fortuna y la supervivencia antes de los eventos descritos en el libro ""La isla del tesoro"".";https://www.starz.com/ar/es/series/Black-Sails-19568
Gangs of London;2020;Tras el asesinato del líder de una banda criminal, el vacío de poder amenaza la frágil paz entre la compleja red de pandillas que operan en las calles de Londres.;https://www.starz.com/ar/es/series/Gangs-of-London-60530
Heels;2021;Dos hermanos y rivales en el ring - uno el villano o “heel”, el otro el héroe o “face” -se disputan el triunfo en la liga de lucha libre de su padre fallecido, buscan la atención nacional hacia un pequeño pueblo de Georgia.;https://www.starz.com/ar/es/series/Heels-60760
Luther;2010;Un oscuro drama psicológico donde Idris Elba interpreta a Luther, un hombre que lucha contra sus propios demonios terribles, que podría ser tan peligroso como los depravados asesinos que caza.;https://www.starz.com/ar/es/series/Luther-45048
